Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
85,Dick Schnittker,SF,26,MNL,72,1798,15.4,.505,,.621,,,,,,,,,,4.2,2.1,6.2,.166,,,,,
86,Fred Scolari,PG,32,BOS,59,619,7.8,.353,,.197,,,,,,,,,,-1.0,0.3,-0.7,-0.057,,,,,
87,Frank Selvy,G-F,22,TOT,71,2668,,.461,,.510,,,,,,,,,,,,,,,,,,
88,Paul Seymour,SG,27,SYR,72,2950,15.1,.438,,.357,,,,,,,,,,2.1,4.5,6.7,.108,,,,,
89,Chuck Share,C,27,MLH,69,1685,22.0,.517,,.853,,,,,,,,,,5.3,2.9,8.1,.232,,,,,
90,Bill Sharman*,SG,28,BOS,68,2453,17.2,.508,,.364,,,,,,,,,,6.7,1.0,7.7,.150,,,,,
91,Gene Shue,PG,23,TOT,62,947,10.2,.401,,.270,,,,,,,,,,-0.4,0.8,0.4,.022,,,,,
91,Gene Shue,PG,23,PHW,6,65,8.9,.312,,.400,,,,,,,,,,-0.1,0.1,0.0,-0.025,,,,,
91,Gene Shue,PG,23,NYK,56,882,10.3,.406,,.263,,,,,,,,,,-0.3,0.7,0.5,.026,,,,,
92,Connie Simmons,C-F,29,TOT,36,862,,.398,,.297,,,,,,,,,,,,,,,,,,
93,Whitey Skoog,SG,28,MNL,72,2365,11.4,.434,,.185,,,,,,,,,,1.1,2.6,3.6,.074,,,,,
94,Odie Spears,SF,29,ROC,71,1888,12.4,.477,,.463,,,,,,,,,,2.8,1.0,3.8,.096,,,,,
95,Art Spoelstra,C,22,ROC,70,1127,12.9,.455,,.391,,,,,,,,,,1.0,0.7,1.7,.074,,,,,
96,Don Sunderlage,SG,25,MNL,45,404,6.0,.345,,.549,,,,,,,,,,-0.8,0.4,-0.3,-0.038,,,,,
97,Jim Tucker,PF,22,SYR,20,287,11.2,.396,,.328,,,,,,,,,,-0.3,0.6,0.3,.053,,,,,
98,Jack Turner,SF,24,NYK,65,922,10.5,.413,,.247,,,,,,,,,,-0.1,0.8,0.6,.032,,,,,
99,Paul Walther,SG,27,FTW,68,820,10.8,.416,,.547,,,,,,,,,,0.2,1.1,1.3,.074,,,,,
100,Bobby Wanzer*,SG,33,ROC,72,2376,16.0,.478,,.456,,,,,,,,,,4.0,1.4,5.4,.109,,,,,
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,Bobby Watson,G,24,TOT,63,702,,.360,,.202,,,,,,,,,,,,,,,,,,
102,Skippy Whitaker,PG,24,BOS,3,15,-8.7,.167,,.000,,,,,,,,,,-0.1,0.0,-0.1,-0.283,,,,,
103,George Yardley*,SF,26,FTW,60,2150,18.9,.492,,.479,,,,,,,,,,4.9,2.7,7.6,.170,,,,,
104,Max Zaslofsky,SG,29,FTW,70,1862,11.9,.402,,.429,,,,,,,,,,-1.1,1.7,0.6,.014,,,,,
105,Zeke Zawoluk,PF,24,PHW,67,1117,14.1,.466,,.531,,,,,,,,,,1.4,1.1,2.5,.110,,,,,
